Date,Open,Close
2012-03-01,67.86,67.63
2012-03-02,67.685,67.37
2012-03-05,67.1,67.9
2012-03-06,67.42,67.14
2012-03-07,67.41,67.25
2012-03-08,67.36,67.35
2012-03-09,67.35,67.23
2012-03-12,67.41,67.77
2012-03-13,68.31,69.17
2012-03-14,69.03,68.65
2012-03-15,68.61,68.65
2012-03-16,68.71,68.39
2012-03-19,68.45,69.17
2012-03-20,68.58,69.29
2012-03-21,69.24,69.04
2012-03-22,68.6,67.88
2012-03-23,67.86,67.76
2012-03-26,68.28,68.6
2012-03-27,68.63,68.76
2012-03-28,68.44,68.9
2012-03-29,68.52,68.87
2012-03-30,69.25,69.11
