Date,Open,Close
2012-03-01,86.54,86.16
2012-03-02,85.71,86.23
2012-03-05,86.0,87.63
2012-03-06,87.11,87.58
2012-03-07,87.9,87.89
2012-03-08,88.01,88.3
2012-03-09,88.47,89.34
2012-03-12,89.28,89.43
2012-03-13,89.78,89.98
2012-03-14,89.47,90.9
2012-03-15,90.82,91.46
2012-03-16,91.26,90.44
2012-03-19,90.75,90.02
2012-03-20,89.9,90.26
2012-03-21,90.36,90.64
2012-03-22,90.25,90.5
2012-03-23,90.49,90.27
2012-03-26,90.63,91.52
2012-03-27,91.53,91.28
2012-03-28,91.24,90.62
2012-03-29,90.16,89.84
2012-03-30,90.04,90.8
