Date,Open,Close
2012-05-01,40.55,40.57
2012-05-02,39.83,39.3
2012-05-03,39.36,38.91
2012-05-04,38.69,37.86
2012-05-07,37.74,37.92
2012-05-08,37.7,37.6
2012-05-09,37.25,37.68
2012-05-10,37.93,37.57
2012-05-11,37.25,37.81
2012-05-14,37.93,37.78
2012-05-15,37.84,37.45
2012-05-16,37.51,36.55
2012-05-17,36.57,36.33
2012-05-18,36.4,35.26
2012-05-21,35.36,35.96
2012-05-22,35.47,34.36
2012-05-23,34.16,33.85
2012-05-24,33.89,33.86
2012-05-25,33.8,33.25
2012-05-29,33.52,33.47
2012-05-30,33.2,33.13
2012-05-31,33.05,33.38
