Date,Open,Close
2012-05-01,79.01,80.25
2012-05-02,79.79,81.75
2012-05-03,81.61,79.71
2012-05-04,79.39,77.98
2012-05-07,77.49,78.84
2012-05-08,78.55,77.74
2012-05-09,76.51,77.25
2012-05-10,78.07,77.29
2012-05-11,76.8,77.58
2012-05-14,77.04,76.32
2012-05-15,76.1,75.11
2012-05-16,75.45,75.21
2012-05-17,75.15,73.7
2012-05-18,73.97,73.3
2012-05-21,73.77,76.31
2012-05-22,76.75,76.41
2012-05-23,75.53,76.93
2012-05-24,77.19,75.78
2012-05-25,75.94,74.33
2012-05-29,75.3,76.29
2012-05-30,75.23,72.74
2012-05-31,72.78,71.75
