Date,Open,Close
2012-05-01,87.62,88.6
2012-05-02,88.51,88.51
2012-05-03,88.41,87.13
2012-05-04,86.96,86.71
2012-05-07,86.63,87.04
2012-05-08,86.55,87.09
2012-05-09,86.26,85.88
2012-05-10,86.8,85.87
2012-05-11,85.82,86.72
2012-05-14,86.19,85.33
2012-05-15,85.45,86.7
2012-05-16,87.11,86.67
2012-05-17,86.76,85.45
2012-05-18,86.17,84.22
2012-05-21,84.24,85.46
2012-05-22,85.76,85.11
2012-05-23,84.72,84.6
2012-05-24,84.51,84.86
2012-05-25,84.65,85.73
2012-05-29,86.2,86.3
2012-05-30,85.81,85.27
2012-05-31,84.94,83.28
