Date,Open,Close
2012-05-01,35.0,35.94
2012-05-02,35.6,35.9
2012-05-03,35.68,35.85
2012-05-04,35.73,35.04
2012-05-07,34.91,35.43
2012-05-08,35.09,35.03
2012-05-09,34.59,34.59
2012-05-10,34.93,34.6
2012-05-11,34.36,34.63
2012-05-14,34.1,33.76
2012-05-15,33.83,33.48
2012-05-16,33.67,33.1
2012-05-17,33.16,32.04
2012-05-18,32.04,30.93
2012-05-21,31.05,32.2
2012-05-22,32.31,31.8
2012-05-23,31.51,31.96
2012-05-24,32.06,31.78
2012-05-25,31.74,31.5
2012-05-29,31.74,32.32
2012-05-30,31.87,31.79
2012-05-31,31.84,31.98
