Date,Open,Close
2012-05-01,83.94,83.92
2012-05-02,83.65,83.82
2012-05-03,84.0,83.52
2012-05-04,83.38,83.51
2012-05-07,83.14,83.78
2012-05-08,83.06,84.5
2012-05-09,83.49,84.35
2012-05-10,84.94,84.29
2012-05-11,83.86,84.82
2012-05-14,83.83,83.84
2012-05-15,83.85,83.12
2012-05-16,83.62,83.18
2012-05-17,83.5,82.52
2012-05-18,83.02,80.81
2012-05-21,81.99,82.55
2012-05-22,82.89,82.77
2012-05-23,82.12,82.09
2012-05-24,82.34,82.25
2012-05-25,81.89,82.1
2012-05-29,82.66,82.47
2012-05-30,81.75,80.8
2012-05-31,80.84,79.78
