Date,Open,Close
2012-11-01,51.55,53.27
2012-11-02,53.71,53.09
2012-11-05,53.1,53.3
2012-11-06,52.94,53.31
2012-11-07,52.62,52.96
2012-11-08,52.99,52.24
2012-11-09,52.74,51.65
2012-11-12,51.83,51.08
2012-11-13,50.69,51.05
2012-11-14,51.13,49.6297
2012-11-15,49.72,50.8693
2012-11-16,50.85,50.47
2012-11-19,50.83,51.9
2012-11-20,51.73,51.85
2012-11-21,51.83,52.01
2012-11-23,52.06,52.76
2012-11-26,52.35,52.24
2012-11-27,52.19,52.42
2012-11-28,52.07,51.97
2012-11-29,52.24,52.08
2012-11-30,52.19,52.27
