Date,Open,Close
2012-11-01,27.34,28.23
2012-11-02,28.62,28.015
2012-11-05,28.06,28.84
2012-11-06,29.0,30.29
2012-11-07,29.82,29.32
2012-11-08,29.37,29.61
2012-11-09,29.15,29.06
2012-11-12,29.13,28.045
2012-11-13,27.77,27.931
2012-11-14,28.07,26.7811
2012-11-15,26.71,26.8703
2012-11-16,26.88,27.11
2012-11-19,27.45,27.0909
2012-11-20,27.0,26.625
2012-11-21,26.76,26.75
2012-11-23,26.97,27.29
2012-11-26,27.24,27.345
2012-11-27,27.33,25.95
2012-11-28,25.87,25.69
2012-11-29,25.74,25.26
2012-11-30,25.69,25.1
