Date,Open,Close
2013-04-01,39.96,41.12
2013-04-02,41.22,40.71
2013-04-03,40.75,40.57
2013-04-04,40.77,41.6
2013-04-05,41.31,41.31
2013-04-08,41.27,41.77
2013-04-09,41.96,42.55
2013-04-10,42.65,43.62
2013-04-11,43.42,43.2
2013-04-12,42.97,43.09
2013-04-15,42.87,41.44
2013-04-16,41.67,42.45
2013-04-17,42.14,42.24
2013-04-18,42.37,42.32
2013-04-19,42.51,42.39
2013-04-22,43.0,44.2
2013-04-23,44.61,45.14
2013-04-24,45.14,44.32
2013-04-25,44.75,44.24
2013-04-26,44.95,45.84
2013-04-29,45.83,45.23
2013-04-30,45.05,46.05
