Date,Open,Close
2013-04-01,87.96,87.01
2013-04-02,87.32,87.05
2013-04-03,87.09,85.83
2013-04-04,86.03,86.24
2013-04-05,85.06,84.84
2013-04-08,84.72,85.66
2013-04-09,86.07,86.23
2013-04-10,86.21,88.35
2013-04-11,88.25,88.39
2013-04-12,87.86,87.83
2013-04-15,87.51,85.71
2013-04-16,86.01,87.48
2013-04-17,87.07,86.74
2013-04-18,86.86,86.0
2013-04-19,85.58,87.32
2013-04-22,87.49,87.67
2013-04-23,87.9,88.27
2013-04-24,88.23,89.33
2013-04-25,89.8,90.17
2013-04-26,90.29,90.13
2013-04-29,90.1,90.84
2013-04-30,90.78,91.11
