Date,Open,Close
2013-05-01,51.48,51.23
2013-05-02,51.23,51.17
2013-05-03,51.39,51.08
2013-05-06,50.99,50.46
2013-05-07,50.55,51.07
2013-05-08,50.42,50.12
2013-05-09,50.1,48.83
2013-05-10,48.78,48.82
2013-05-13,48.67,48.67
2013-05-14,48.74,48.87
2013-05-15,48.86,49.41
2013-05-16,49.32,49.05
2013-05-17,49.15,49.64
2013-05-20,49.59,49.47
2013-05-21,49.47,49.36
2013-05-22,49.3,48.59
2013-05-23,48.18,48.28
2013-05-24,47.96,47.71
2013-05-28,47.14,46.56
2013-05-29,46.16,46.19
2013-05-30,46.38,46.09
2013-05-31,45.97,45.82
