Date,Open,Close
2013-05-01,68.25,68.28
2013-05-02,68.43,69.38
2013-05-03,69.92,70.23
2013-05-06,70.22,70.06
2013-05-07,70.07,70.24
2013-05-08,69.92,70.31
2013-05-09,70.25,70.21
2013-05-10,70.16,70.08
2013-05-13,70.09,69.79
2013-05-14,69.95,71.51
2013-05-15,71.33,72.78
2013-05-16,72.61,72.23
2013-05-17,72.28,73.32
2013-05-20,73.31,74.4
2013-05-21,74.47,75.11
2013-05-22,75.43,74.44
2013-05-23,73.88,74.69
2013-05-24,74.09,75.27
2013-05-28,75.91,76.16
2013-05-29,75.8,75.83
2013-05-30,76.02,76.14
2013-05-31,76.13,75.71
