Date,Open,Close
2013-05-01,37.88,37.61
2013-05-02,37.73,38.02
2013-05-03,38.33,38.16
2013-05-06,38.26,38.01
2013-05-07,38.0,38.135
2013-05-08,38.14,38.57
2013-05-09,38.53,38.48
2013-05-10,38.63,38.56
2013-05-13,38.15,37.89
2013-05-14,37.97,38.35
2013-05-15,38.19,38.74
2013-05-16,38.98,38.74
2013-05-17,39.0,39.22
2013-05-20,39.09,38.95
2013-05-21,39.1,39.47
2013-05-22,39.3,39.51
2013-05-23,39.28,39.21
2013-05-24,38.91,39.4
2013-05-28,40.0,39.96
2013-05-29,39.75,40.45
2013-05-30,40.56,41.325
2013-05-31,41.0,40.65
