Date,Open,Close
2013-07-01,64.03,64.89
2013-07-02,64.74,65.11
2013-07-03,65.3,65.06
2013-07-05,65.22,65.34
2013-07-08,65.58,65.73
2013-07-09,66.0,65.92
2013-07-10,65.86,65.97
2013-07-11,66.71,66.53
2013-07-12,66.53,66.5
2013-07-15,66.38,66.52
2013-07-16,66.3,66.31
2013-07-17,66.35,66.18
2013-07-18,66.28,66.64
2013-07-19,66.9,67.32
2013-07-22,67.21,67.46
2013-07-23,67.53,67.23
2013-07-24,67.25,66.87
2013-07-25,66.75,66.97
2013-07-26,66.63,66.98
2013-07-29,66.75,66.89
2013-07-30,67.06,66.45
2013-07-31,66.64,66.24
