Date,Open,Close
2013-07-01,14.96,14.96
2013-07-02,14.89,14.99
2013-07-03,14.95,14.99
2013-07-05,15.05,15.2
2013-07-08,15.28,15.3
2013-07-09,15.43,15.3
2013-07-10,15.3,15.15
2013-07-11,15.3,15.0
2013-07-12,15.06,15.2
2013-07-15,15.18,15.3
2013-07-16,15.3,15.18
2013-07-17,15.22,15.3
2013-07-18,15.25,15.57
2013-07-19,15.53,15.48
2013-07-22,15.46,15.61
2013-07-23,15.65,15.55
2013-07-24,15.61,15.4
2013-07-25,15.4,15.38
2013-07-26,15.34,15.23
2013-07-29,15.27,15.17
2013-07-30,15.06,14.94
2013-07-31,15.04,15.0
