Date,Open,Close
2013-08-01,59.68,59.44
2013-08-02,59.51,59.43
2013-08-05,59.38,59.6
2013-08-06,59.28,59.32
2013-08-07,59.01,59.87
2013-08-08,59.95,60.29
2013-08-09,60.23,60.33
2013-08-12,60.02,60.07
2013-08-13,60.02,60.25
2013-08-14,60.07,58.86
2013-08-15,58.56,57.91
2013-08-16,57.79,57.44
2013-08-19,57.36,57.38
2013-08-20,57.38,57.88
2013-08-21,57.78,57.29
2013-08-22,57.54,57.76
2013-08-23,57.77,58.86
2013-08-26,58.9,58.34
2013-08-27,57.92,58.51
2013-08-28,58.47,58.74
2013-08-29,58.58,58.53
2013-08-30,58.49,58.35
