Date,Open,Close
2013-08-01,57.33,58.09
2013-08-02,57.95,57.26
2013-08-05,57.12,56.9
2013-08-06,57.01,56.47
2013-08-07,56.31,55.98
2013-08-08,56.18,56.29
2013-08-09,56.22,56.75
2013-08-12,56.54,57.0
2013-08-13,57.0,57.44
2013-08-14,57.37,57.16
2013-08-15,56.52,56.31
2013-08-16,56.19,56.6
2013-08-19,56.34,56.03
2013-08-20,56.02,56.65
2013-08-21,56.46,56.24
2013-08-22,56.37,57.45
2013-08-23,57.54,57.33
2013-08-26,57.39,57.18
2013-08-27,56.56,56.03
2013-08-28,55.93,56.4
2013-08-29,56.19,56.52
2013-08-30,56.59,55.79
