Date,Open,Close
2013-08-01,40.12,39.94
2013-08-02,39.94,39.82
2013-08-05,39.76,39.68
2013-08-06,39.6,39.24
2013-08-07,39.31,38.94
2013-08-08,39.36,39.01
2013-08-09,39.08,38.88
2013-08-12,38.78,39.5
2013-08-13,39.46,39.03
2013-08-14,38.98,38.87
2013-08-15,38.56,38.28
2013-08-16,38.32,37.78
2013-08-19,37.91,38.07
2013-08-20,38.24,38.45
2013-08-21,38.67,40.28
2013-08-22,40.41,40.64
2013-08-23,40.74,40.6
2013-08-26,40.6,40.42
2013-08-27,39.98,39.73
2013-08-28,39.7,39.51
2013-08-29,39.48,41.23
2013-08-30,41.23,40.77
