Date,Open,Close
2013-08-01,57.36,57.49
2013-08-02,56.75,57.12
2013-08-05,57.0,57.75
2013-08-06,57.75,57.29
2013-08-07,57.13,57.0
2013-08-08,57.37,57.63
2013-08-09,57.57,57.65
2013-08-12,57.28,57.67
2013-08-13,57.86,58.27
2013-08-14,58.25,58.22
2013-08-15,57.44,56.93
2013-08-16,56.8,57.29
2013-08-19,57.35,56.44
2013-08-20,56.64,56.36
2013-08-21,56.07,56.09
2013-08-22,56.34,56.55
2013-08-23,56.75,56.97
2013-08-26,56.99,57.02
2013-08-27,56.39,55.66
2013-08-28,55.66,56.22
2013-08-29,56.02,56.5
2013-08-30,56.44,56.63
