Date,Open,Close
2013-08-01,30.24,29.59
2013-08-02,29.6,28.79
2013-08-05,28.79,28.48
2013-08-06,28.1,26.63
2013-08-07,26.61,26.48
2013-08-08,26.8,28.78
2013-08-09,28.73,29.51
2013-08-12,30.39,30.9
2013-08-13,30.76,30.08
2013-08-14,30.32,31.94
2013-08-15,31.59,33.22
2013-08-16,33.35,32.38
2013-08-19,32.37,32.08
2013-08-20,32.05,32.81
2013-08-21,32.58,31.84
2013-08-22,32.31,32.17
2013-08-23,32.14,33.0
2013-08-26,33.19,33.29
2013-08-27,34.08,32.11
2013-08-28,32.37,31.34
2013-08-29,31.13,31.83
2013-08-30,31.38,31.77
