Date,Open,Close
2013-10-01,55.3,56.21
2013-10-02,56.04,56.99
2013-10-03,56.8,56.34
2013-10-04,56.25,57.11
2013-10-07,56.38,56.53
2013-10-08,56.41,56.09
2013-10-09,56.08,55.82
2013-10-10,56.57,57.1
2013-10-11,56.66,57.35
2013-10-14,57.02,58.1
2013-10-15,57.69,57.85
2013-10-16,58.07,59.03
2013-10-17,58.87,58.25
2013-10-18,58.63,59.34
2013-10-21,59.6,58.03
2013-10-22,58.15,57.77
2013-10-23,54.49,52.8
2013-10-24,53.04,51.89
2013-10-25,51.95,51.13
2013-10-28,51.74,51.81
2013-10-29,51.83,51.51
2013-10-30,51.51,50.9
2013-10-31,50.94,50.55
