Date,Open,Close
2013-10-01,75.83,75.95
2013-10-02,75.55,75.71
2013-10-03,75.41,75.22
2013-10-04,75.44,76.56
2013-10-07,75.67,75.56
2013-10-08,75.67,73.83
2013-10-09,73.89,75.0
2013-10-10,76.11,77.98
2013-10-11,77.75,78.9
2013-10-14,78.57,79.33
2013-10-15,79.03,78.92
2013-10-16,79.66,81.11
2013-10-17,80.9,78.54
2013-10-18,79.15,77.84
2013-10-21,77.72,76.87
2013-10-22,76.86,75.1
2013-10-23,75.05,74.16
2013-10-24,74.05,73.2
2013-10-25,75.29,74.73
2013-10-28,74.11,73.61
2013-10-29,73.75,74.64
2013-10-30,75.75,77.4
2013-10-31,77.33,75.71
