Date,Open,Close
2014-04-01,112.77,113.27
2014-04-02,113.56,112.17
2014-04-03,112.56,114.09
2014-04-04,114.36,112.21
2014-04-07,112.2,112.0
2014-04-08,112.2,111.27
2014-04-09,111.67,113.9
2014-04-10,113.81,109.66
2014-04-11,108.47,108.16
2014-04-14,108.57,109.25
2014-04-15,109.52,109.65
2014-04-16,110.13,108.8
2014-04-17,105.55,104.74
2014-04-21,105.23,105.38
2014-04-22,105.52,107.88
2014-04-23,107.45,107.87
2014-04-24,108.97,108.82
2014-04-25,108.32,109.18
2014-04-28,109.54,108.97
2014-04-29,109.54,109.05
2014-04-30,109.32,109.75
