Date,Open,Close
2014-05-01,93.34,92.4
2014-05-02,92.97,90.61
2014-05-05,90.25,93.7
2014-05-06,93.07,95.27
2014-05-07,95.31,92.21
2014-05-08,97.89,104.19
2014-05-09,103.88,108.47
2014-05-12,108.78,110.71
2014-05-13,116.33,119.07
2014-05-14,118.22,116.0
2014-05-15,115.46,114.41
2014-05-16,114.35,114.48
2014-05-19,114.28,113.53
2014-05-20,113.29,113.81
2014-05-21,114.17,113.8
2014-05-22,112.68,113.37
2014-05-23,113.82,114.03
2014-05-27,114.05,116.82
2014-05-28,116.83,114.36
2014-05-29,114.93,112.48
2014-05-30,112.72,112.78
