Date,Open,Close
2014-06-02,102.42,103.76
2014-06-03,103.42,104.49
2014-06-04,104.42,104.31
2014-06-05,104.8,106.96
2014-06-06,107.08,108.18
2014-06-09,107.74,108.75
2014-06-10,108.5,109.31
2014-06-11,108.93,108.69
2014-06-12,108.47,106.65
2014-06-13,106.55,106.77
2014-06-16,106.5,106.81
2014-06-17,106.51,106.67
2014-06-18,106.63,107.48
2014-06-19,106.99,107.25
2014-06-20,108.05,109.38
2014-06-23,109.25,108.78
2014-06-24,108.56,107.81
2014-06-25,107.48,108.44
2014-06-26,108.55,108.52
2014-06-27,108.34,108.78
2014-06-30,108.68,108.67
