Date,Open,Close
2014-07-01,96.94,97.35
2014-07-02,97.16,97.2
2014-07-03,97.34,97.82
2014-07-07,97.81,97.83
2014-07-08,97.8,97.68
2014-07-09,97.8,97.28
2014-07-10,96.39,96.66
2014-07-11,96.88,96.59
2014-07-14,97.18,96.96
2014-07-15,96.92,96.5
2014-07-16,96.75,96.5
2014-07-17,94.93,96.37
2014-07-18,94.93,96.37
2014-07-21,96.12,96.34
2014-07-22,96.86,97.21
2014-07-23,97.61,96.98
2014-07-24,97.15,97.71
2014-07-25,97.38,97.6
2014-07-28,97.47,97.61
2014-07-29,97.51,97.17
2014-07-30,97.98,97.41
2014-07-31,99.25,96.17
