Date,Open,Close
2014-07-01,62.86,62.99
2014-07-02,62.93,62.67
2014-07-03,62.87,63.03
2014-07-07,63.0,62.86
2014-07-08,62.87,63.03
2014-07-09,63.28,63.44
2014-07-10,62.76,63.34
2014-07-11,63.36,63.07
2014-07-14,63.35,63.73
2014-07-15,63.67,64.14
2014-07-16,64.17,64.19
2014-07-17,63.76,63.48
2014-07-18,63.56,64.34
2014-07-21,64.23,64.6
2014-07-22,64.9,63.21
2014-07-23,63.23,62.96
2014-07-24,63.12,63.83
2014-07-25,63.61,63.36
2014-07-28,63.3,62.91
2014-07-29,62.88,62.45
2014-07-30,62.52,62.49
2014-07-31,62.31,61.26
