Date,Open,Close
2014-07-01,50.19,50.5
2014-07-02,50.51,50.55
2014-07-03,50.96,50.94
2014-07-07,50.93,50.74
2014-07-08,50.61,50.18
2014-07-09,50.3,50.93
2014-07-10,50.22,50.335
2014-07-11,51.0,51.5
2014-07-14,51.25,51.16
2014-07-15,51.45,50.815
2014-07-16,51.03,50.7
2014-07-17,51.1,51.03
2014-07-18,50.93,51.48
2014-07-21,51.27,51.7
2014-07-22,51.87,52.05
2014-07-23,52.0,52.66
2014-07-24,52.52,53.23
2014-07-25,52.78,52.75
2014-07-28,52.91,52.93
2014-07-29,53.1,53.21
2014-07-30,53.28,53.23
2014-07-31,52.94,52.83
