Date,Open,Close
2014-07-01,87.41,87.71
2014-07-02,87.89,87.66
2014-07-03,88.3,88.55
2014-07-07,88.45,87.78
2014-07-08,87.7,87.5
2014-07-09,87.74,87.27
2014-07-10,86.77,86.76
2014-07-11,86.87,86.83
2014-07-14,87.31,86.78
2014-07-15,86.15,85.89
2014-07-16,86.43,86.45
2014-07-17,86.02,86.12
2014-07-18,86.28,86.53
2014-07-21,86.19,86.61
2014-07-22,86.98,87.45
2014-07-23,87.44,88.01
2014-07-24,88.0,87.97
2014-07-25,87.57,88.71
2014-07-28,88.66,88.67
2014-07-29,83.51,81.52
2014-07-30,81.77,81.29
2014-07-31,80.785,78.78
