Date,Open,Close
2014-07-01,52.09,52.16
2014-07-02,52.05,52.6
2014-07-03,52.7,52.95
2014-07-07,52.9,52.55
2014-07-08,52.32,52.17
2014-07-09,52.3,53.44
2014-07-10,52.52,52.43
2014-07-11,52.49,52.19
2014-07-14,52.63,52.46
2014-07-15,52.23,52.45
2014-07-16,52.57,52.59
2014-07-17,52.21,51.1
2014-07-18,51.53,52.15
2014-07-21,51.67,51.66
2014-07-22,51.82,51.32
2014-07-23,51.41,50.84
2014-07-24,51.03,50.92
2014-07-25,50.68,50.42
2014-07-28,49.64,50.06
2014-07-29,50.06,49.43
2014-07-30,49.64,50.06
2014-07-31,49.51,48.81
