Date,Open,Close
2014-07-01,33.24,33.98
2014-07-02,34.0,33.76
2014-07-03,34.09,33.73
2014-07-07,33.61,32.86
2014-07-08,32.8,33.13
2014-07-09,32.59,32.89
2014-07-10,32.18,32.77
2014-07-11,32.84,32.8
2014-07-14,33.13,33.59
2014-07-15,33.72,34.02
2014-07-16,34.42,34.64
2014-07-17,33.83,33.0501
2014-07-18,33.18,33.15
2014-07-21,33.0,33.07
2014-07-22,33.35,33.63
2014-07-23,33.55,33.68
2014-07-24,33.87,33.88
2014-07-25,33.69,33.42
2014-07-28,33.34,31.98
2014-07-29,32.14,32.13
2014-07-30,32.38,32.53
2014-07-31,31.17,30.55
