Date,Open,Close
2014-08-01,148.6,150.31
2014-08-04,148.6,150.31
2014-08-05,149.39,148.83
2014-08-06,149.21,149.38
2014-08-07,149.55,149.07
2014-08-08,149.57,149.8
2014-08-11,149.8,150.54
2014-08-12,150.12,150.44
2014-08-13,150.4,152.45
2014-08-14,152.27,151.49
2014-08-15,151.43,150.96
2014-08-18,151.82,153.28
2014-08-19,153.65,154.05
2014-08-20,153.61,155.02
2014-08-21,154.99,155.43
2014-08-22,155.07,153.63
2014-08-25,154.33,153.21
2014-08-26,153.2,153.15
2014-08-27,153.38,153.2
2014-08-28,152.42,152.65
2014-08-29,153.0,154.1
