Date,Open,Close
2014-10-01,14.19,14.2
2014-10-02,14.2,14.14
2014-10-03,14.16,14.14
2014-10-06,14.21,14.3
2014-10-07,14.25,14.24
2014-10-08,14.22,14.04
2014-10-09,13.99,13.47
2014-10-10,13.52,13.25
2014-10-13,13.21,13.14
2014-10-14,13.2,13.21
2014-10-15,13.06,12.84
2014-10-16,12.7,12.98
2014-10-17,13.01,13.29
2014-10-20,13.3,13.36
2014-10-21,13.44,13.51
2014-10-22,13.48,13.63
2014-10-23,13.83,13.59
2014-10-24,13.59,13.73
2014-10-27,13.71,13.42
2014-10-28,13.43,13.6
2014-10-29,13.67,13.41
2014-10-30,13.4,13.95
2014-10-31,14.07,14.07
