Date,Open,Close
2014-10-01,127.37,124.67
2014-10-02,124.4,124.17
2014-10-03,124.66,126.36
2014-10-06,127.09,126.26
2014-10-07,125.52,123.32
2014-10-08,123.47,124.98
2014-10-09,124.72,122.76
2014-10-10,122.87,121.5
2014-10-13,122.05,120.45
2014-10-14,121.84,122.29
2014-10-15,121.06,120.19
2014-10-16,118.91,120.29
2014-10-17,122.29,123.24
2014-10-20,123.39,124.31
2014-10-21,125.21,127.12
2014-10-22,127.99,121.45
2014-10-23,121.27,122.03
2014-10-24,122.2,122.24
2014-10-27,122.13,122.12
2014-10-28,122.5,123.61
2014-10-29,124.48,123.08
2014-10-30,122.52,123.82
2014-10-31,125.03,124.91
