Date,Open,Close
2014-10-01,69.56,67.94
2014-10-02,67.98,66.8
2014-10-03,67.16,68.1
2014-10-06,68.09,67.325
2014-10-07,66.66,66.0
2014-10-08,65.87,66.17
2014-10-09,65.59,64.58
2014-10-10,64.4,63.55
2014-10-13,63.55,61.71
2014-10-14,62.11,62.55
2014-10-15,61.92,62.2
2014-10-16,60.72,62.79
2014-10-17,63.63,65.01
2014-10-20,64.94,67.02
2014-10-21,67.58,68.42
2014-10-22,69.41,68.42
2014-10-23,69.0,68.43
2014-10-24,68.4,69.29
2014-10-27,69.3,70.26
2014-10-28,69.85,71.95
2014-10-29,74.0,74.03
2014-10-30,73.51,76.0
2014-10-31,77.99,75.75
