Date,Open,Close
2014-12-01,84.59,84.61
2014-12-02,84.65,85.61
2014-12-03,85.39,86.74
2014-12-04,86.43,87.24
2014-12-05,87.65,88.74
2014-12-08,87.96,88.93
2014-12-09,88.04,88.58
2014-12-10,88.22,89.03
2014-12-11,89.52,88.48
2014-12-12,87.82,87.08
2014-12-15,87.67,87.94
2014-12-16,87.5,87.5
2014-12-17,87.7,89.94
2014-12-18,90.06,92.28
2014-12-19,91.93,92.36
2014-12-22,92.27,92.905
2014-12-23,93.2,92.72
2014-12-24,91.0,90.58
2014-12-26,91.04,90.39
2014-12-29,90.02,90.18
2014-12-30,89.96,89.845
2014-12-31,90.09,88.65
