Date,Open,Close
2014-12-01,45.05,44.42
2014-12-02,44.3,44.85
2014-12-03,45.01,46.26
2014-12-04,46.23,46.64
2014-12-05,46.82,47.255
2014-12-08,46.255,46.62
2014-12-09,46.09,46.565
2014-12-10,46.35,46.04
2014-12-11,47.03,46.44
2014-12-12,46.02,45.56
2014-12-15,45.63,45.25
2014-12-16,45.16,45.01
2014-12-17,45.08,45.38
2014-12-18,46.09,46.58
2014-12-19,46.55,47.31
2014-12-22,47.29,47.7
2014-12-23,48.0,47.72
2014-12-24,47.86,47.87
2014-12-26,48.03,47.8
2014-12-29,47.8,48.21
2014-12-30,48.1,48.12
2014-12-31,48.36,47.56
