Date,Open,Close
2014-12-01,98.6,97.4
2014-12-02,97.47,97.86
2014-12-03,98.14,99.97
2014-12-04,99.85,99.26
2014-12-05,99.62,99.69
2014-12-08,99.37,98.75
2014-12-09,97.49,99.32
2014-12-10,99.19,97.5
2014-12-11,97.7,97.89
2014-12-12,97.1,95.88
2014-12-15,97.03,95.81
2014-12-16,95.91,96.38
2014-12-17,96.4,97.66
2014-12-18,98.96,100.63
2014-12-19,100.66,101.16
2014-12-22,100.97,101.21
2014-12-23,101.61,101.98
2014-12-24,102.34,101.96
2014-12-26,102.05,101.63
2014-12-29,101.42,101.67
2014-12-30,101.2,100.72
2014-12-31,100.97,99.92
