Date,Open,Close
2014-12-01,24.08,23.94
2014-12-02,23.9,24.34
2014-12-03,24.4,24.73
2014-12-04,24.75,24.78
2014-12-05,24.75,24.87
2014-12-08,24.79,24.57
2014-12-09,24.27,24.91
2014-12-10,24.9,24.32
2014-12-11,24.48,24.52
2014-12-12,24.33,24.05
2014-12-15,24.1,24.0
2014-12-16,23.87,23.75
2014-12-17,23.88,24.43
2014-12-18,24.83,25.07
2014-12-19,25.19,25.31
2014-12-22,25.36,25.35
2014-12-23,25.42,25.31
2014-12-24,25.33,25.17
2014-12-26,25.26,25.27
2014-12-29,25.27,25.4
2014-12-30,25.4,25.28
2014-12-31,25.33,25.2
