Date,Open,Close
2014-12-01,65.6,65.23
2014-12-02,65.3,65.24
2014-12-03,66.08,65.86
2014-12-04,65.61,65.91
2014-12-05,65.91,65.58
2014-12-08,65.32,65.31
2014-12-09,64.67,65.42
2014-12-10,65.29,64.29
2014-12-11,64.63,65.6
2014-12-12,65.27,65.61
2014-12-15,65.73,66.31
2014-12-16,65.89,65.02
2014-12-17,65.52,65.36
2014-12-18,66.12,67.08
2014-12-19,67.3,66.08
2014-12-22,66.24,67.26
2014-12-23,67.64,68.12
2014-12-24,68.21,67.87
2014-12-26,67.95,68.07
2014-12-29,67.84,68.37
2014-12-30,68.17,68.44
2014-12-31,68.82,68.58
