Date,Open,Close
2015-03-02,60.94,60.26
2015-03-03,60.1,59.95
2015-03-04,59.8,59.31
2015-03-05,59.25,59.1
2015-03-06,59.1,58.9
2015-03-09,58.88,59.0
2015-03-10,58.32,57.76
2015-03-11,57.99,57.85
2015-03-12,59.24,59.88
2015-03-13,59.89,59.34
2015-03-16,59.48,59.5
2015-03-17,59.25,58.91
2015-03-18,58.81,58.95
2015-03-19,58.76,58.59
2015-03-20,58.78,59.41
2015-03-23,59.52,58.89
2015-03-24,58.7,57.77
2015-03-25,57.94,57.14
2015-03-26,56.82,56.8
2015-03-27,56.93,56.57
2015-03-30,56.76,56.79
2015-03-31,56.6,56.35
