Date,Open,Close
2015-03-02,85.67,86.62
2015-03-03,86.3,85.5
2015-03-04,85.79,85.1
2015-03-05,85.16,85.67
2015-03-06,84.01,81.13
2015-03-09,81.1,80.68
2015-03-10,80.01,80.9
2015-03-11,81.06,80.24
2015-03-12,80.4,80.43
2015-03-13,80.53,80.18
2015-03-16,80.35,80.43
2015-03-17,79.93,81.42
2015-03-18,81.15,82.42
2015-03-19,82.79,82.53
2015-03-20,82.75,83.2
2015-03-23,83.19,84.09
2015-03-24,83.95,82.8
2015-03-25,83.12,81.89
2015-03-26,81.6,81.1
2015-03-27,81.0,81.76
2015-03-30,81.9,82.17
2015-03-31,82.52,82.45
