Date,Open,Close
2015-03-02,39.49,39.65
2015-03-03,39.45,39.39
2015-03-04,39.52,39.07
2015-03-05,39.19,39.34
2015-03-06,39.24,38.55
2015-03-09,38.55,38.72
2015-03-10,38.42,38.01
2015-03-11,38.05,37.83
2015-03-12,38.0,38.43
2015-03-13,38.36,38.6
2015-03-16,38.71,38.98
2015-03-17,38.85,38.87
2015-03-18,38.89,39.41
2015-03-19,39.33,39.25
2015-03-20,39.65,39.72
2015-03-23,39.64,39.46
2015-03-24,39.38,39.37
2015-03-25,39.5,39.08
2015-03-26,38.99,38.98
2015-03-27,38.88,39.06
2015-03-30,39.31,39.47
2015-03-31,39.35,39.07
