Date,Open,Close
2015-03-02,82.88,82.95
2015-03-03,82.67,82.7
2015-03-04,82.69,82.17
2015-03-05,82.2,81.71
2015-03-06,81.28,80.05
2015-03-09,80.18,80.45
2015-03-10,80.0,79.25
2015-03-11,79.33,77.82
2015-03-12,78.26,78.73
2015-03-13,78.73,77.65
2015-03-16,78.07,77.89
2015-03-17,77.77,77.89
2015-03-18,77.6,78.56
2015-03-19,78.64,78.86
2015-03-20,78.83,79.45
2015-03-23,79.45,79.86
2015-03-24,78.87,77.53
2015-03-25,77.81,76.7
2015-03-26,76.56,76.34
2015-03-27,76.27,76.79
2015-03-30,77.25,76.86
2015-03-31,76.54,75.33
