Date,Open,Close
2015-06-01,40.25,40.22
2015-06-02,40.0,39.62
2015-06-03,39.51,39.31
2015-06-04,39.13,39.09
2015-06-05,38.74,38.37
2015-06-08,38.02,37.93
2015-06-09,37.89,37.87
2015-06-10,37.98,37.81
2015-06-11,38.05,38.3
2015-06-12,38.05,37.77
2015-06-15,37.75,37.73
2015-06-16,37.61,37.81
2015-06-17,37.81,38.09
2015-06-18,38.18,38.54
2015-06-19,38.54,38.26
2015-06-22,38.12,38.31
2015-06-23,38.2,37.76
2015-06-24,37.78,37.78
2015-06-25,37.97,37.51
2015-06-26,37.46,37.73
2015-06-29,37.72,37.54
2015-06-30,37.84,37.68
