Date,Open,Close
2015-06-01,79.33,79.26
2015-06-02,78.87,77.84
2015-06-03,77.7,76.67
2015-06-04,76.36,76.68
2015-06-05,75.94,74.94
2015-06-08,74.94,74.53
2015-06-09,74.45,74.52
2015-06-10,74.96,75.03
2015-06-11,74.86,74.81
2015-06-12,74.41,74.08
2015-06-15,74.06,73.78
2015-06-16,73.63,74.1
2015-06-17,74.08,74.98
2015-06-18,75.02,76.05
2015-06-19,76.07,75.69
2015-06-22,75.84,75.39
2015-06-23,75.15,74.36
2015-06-24,74.38,73.85
2015-06-25,74.0,73.89
2015-06-26,73.7,74.96
2015-06-29,75.0,74.64
2015-06-30,74.93,74.64
