Date,Open,Close
2015-06-01,107.42,107.45
2015-06-02,107.09,107.63
2015-06-03,109.02,106.61
2015-06-04,105.8,105.635
2015-06-05,105.81,106.4
2015-06-08,106.0,104.79
2015-06-09,104.92,105.02
2015-06-10,105.99,108.17
2015-06-11,108.24,107.87
2015-06-12,107.12,107.69
2015-06-15,107.19,107.22
2015-06-16,107.22,107.95
2015-06-17,108.13,107.89
2015-06-18,107.99,109.68
2015-06-19,110.0,108.68
2015-06-22,111.2,109.5
2015-06-23,109.95,109.83
2015-06-24,109.62,108.98
2015-06-25,109.67,109.27
2015-06-26,109.5,110.71
2015-06-29,109.22,106.95
2015-06-30,108.28,109.35
