Date,Open,Close
2015-06-01,72.98,72.01
2015-06-02,72.47,73.81
2015-06-03,73.86,73.44
2015-06-04,72.83,72.18
2015-06-05,71.81,73.65
2015-06-08,73.34,73.12
2015-06-09,73.9,72.69
2015-06-10,74.88,75.12
2015-06-11,74.91,73.72
2015-06-12,72.99,73.5
2015-06-15,72.41,72.61
2015-06-16,72.69,73.76
2015-06-17,74.39,73.92
2015-06-18,74.28,72.79
2015-06-19,72.27,72.1
2015-06-22,72.21,72.57
2015-06-23,72.46,72.94
2015-06-24,71.71,70.95
2015-06-25,70.96,70.8
2015-06-26,70.6,70.95
2015-06-29,69.65,69.83
2015-06-30,70.57,70.42
