Date,Open,Close
2015-07-01,50.59,50.385
2015-07-02,50.43,50.83
2015-07-06,50.41,50.95
2015-07-07,51.35,53.29
2015-07-08,52.72,52.475
2015-07-09,53.07,52.46
2015-07-10,52.99,52.51
2015-07-13,53.0,52.84
2015-07-14,52.79,53.3
2015-07-15,53.2,52.58
2015-07-16,53.1,52.5
2015-07-17,52.4,52.19
2015-07-20,52.19,51.85
2015-07-21,52.235,52.12
2015-07-22,52.68,52.0
2015-07-23,52.0,52.345
2015-07-24,52.32,51.78
2015-07-27,51.44,51.05
2015-07-28,50.83,50.89
2015-07-29,50.85,50.09
2015-07-30,50.04,50.6
2015-07-31,50.92,50.58
