Date,Open,Close
2015-07-01,89.01,88.6
2015-07-02,88.72,88.32
2015-07-06,87.41,87.75
2015-07-07,87.67,87.89
2015-07-08,87.39,86.21
2015-07-09,87.22,86.73
2015-07-10,87.82,87.67
2015-07-13,88.53,89.03
2015-07-14,88.73,89.02
2015-07-15,89.74,90.1
2015-07-16,90.65,90.96
2015-07-17,90.63,90.99
2015-07-20,91.08,91.44
2015-07-21,91.42,91.71
2015-07-22,91.62,91.65
2015-07-23,91.62,90.77
2015-07-24,83.54,78.86
2015-07-27,78.04,78.61
2015-07-28,79.25,78.65
2015-07-29,78.94,79.62
2015-07-30,80.22,81.5
2015-07-31,81.58,81.3
