Date,Open,Close
2015-10-01,42.21,41.66
2015-10-02,41.17,43.53
2015-10-05,43.74,43.89
2015-10-06,43.96,43.37
2015-10-07,43.33,42.72
2015-10-08,42.27,43.51
2015-10-09,42.9,42.59
2015-10-12,42.97,41.92
2015-10-13,41.71,41.55
2015-10-14,41.75,41.76
2015-10-15,42.04,41.75
2015-10-16,41.87,40.28
2015-10-19,40.16,39.77
2015-10-20,39.88,39.9
2015-10-21,40.34,39.6
2015-10-22,40.26,39.46
2015-10-23,39.89,38.53
2015-10-26,38.6,38.76
2015-10-27,39.43,38.68
2015-10-28,39.38,38.54
2015-10-29,38.76,38.69
2015-10-30,38.98,38.64
