Date,Open,Close
2015-10-01,68.38,68.76
2015-10-02,67.97,70.22
2015-10-05,70.88,71.7
2015-10-06,71.39,69.75
2015-10-07,69.98,69.67
2015-10-08,69.72,71.33
2015-10-09,71.22,71.36
2015-10-12,71.48,71.56
2015-10-13,71.09,70.35
2015-10-14,71.28,70.31
2015-10-15,70.9,71.54
2015-10-16,72.15,72.93
2015-10-19,72.88,72.57
2015-10-20,72.23,73.25
2015-10-21,73.6,72.64
2015-10-22,72.96,73.21
2015-10-23,68.4,63.75
2015-10-26,64.38,65.91
2015-10-27,65.68,66.3
2015-10-28,66.25,67.81
2015-10-29,67.67,68.11
2015-10-30,68.0,67.52
