Date,Open,Close
2015-12-01,54.46,54.61
2015-12-02,54.21,52.55
2015-12-03,52.81,51.61
2015-12-04,50.84,51.19
2015-12-07,49.73,48.99
2015-12-08,47.65,48.3
2015-12-09,48.35,48.47
2015-12-10,48.23,49.22
2015-12-11,48.25,48.13
2015-12-14,47.58,49.53
2015-12-15,50.35,50.56
2015-12-16,50.3,49.35
2015-12-17,49.37,47.28
2015-12-18,47.05,45.93
2015-12-21,46.03,45.1
2015-12-22,45.18,46.28
2015-12-23,47.29,49.03
2015-12-24,49.04,48.59
2015-12-28,47.61,47.19
2015-12-29,48.23,47.77
2015-12-30,46.94,46.6
2015-12-31,46.06,46.69
