Date,Open,Close
2015-12-01,25.62,26.11
2015-12-02,25.95,25.37
2015-12-03,25.24,25.33
2015-12-04,25.55,26.37
2015-12-07,26.34,26.13
2015-12-08,26.13,26.37
2015-12-09,26.19,26.43
2015-12-10,26.44,26.1
2015-12-11,25.62,25.93
2015-12-14,25.84,26.08
2015-12-15,26.25,26.37
2015-12-16,26.48,27.02
2015-12-17,26.84,26.83
2015-12-18,26.61,26.22
2015-12-21,26.48,26.19
2015-12-22,26.33,26.28
2015-12-23,26.35,26.97
2015-12-24,26.9,27.03
2015-12-28,26.91,27.16
2015-12-29,27.44,27.44
2015-12-30,27.44,27.41
2015-12-31,27.34,27.21
