Date,Open,Close
2016-03-01,38.88,39.66
2016-03-02,39.48,39.98
2016-03-03,40.04,40.58
2016-03-04,40.7,40.73
2016-03-07,40.58,41.75
2016-03-08,41.41,40.76
2016-03-09,41.09,40.75
2016-03-10,40.82,40.6
2016-03-11,40.92,41.75
2016-03-14,41.48,41.49
2016-03-15,41.04,41.36
2016-03-16,41.22,42.38
2016-03-17,42.38,43.86
2016-03-18,43.98,44.08
2016-03-21,43.91,44.14
2016-03-22,44.12,44.59
2016-03-23,44.3,43.66
2016-03-24,43.35,43.27
2016-03-28,43.5,43.02
2016-03-29,42.87,43.53
2016-03-30,43.96,43.77
2016-03-31,43.72,43.55
