Date,Open,Close
2016-05-02,114.47,114.27
2016-05-03,116.86,113.59
2016-05-04,112.73,115.31
2016-05-05,115.32,115.04
2016-05-06,114.95,117.05
2016-05-09,116.57,115.47
2016-05-10,116.05,117.11
2016-05-11,117.05,116.57
2016-05-12,117.29,117.13
2016-05-13,117.1,116.02
2016-05-16,116.23,118.16
2016-05-17,117.7,117.03
2016-05-18,116.65,116.01
2016-05-19,115.86,116.16
2016-05-20,116.81,116.72
2016-05-23,116.76,116.85
2016-05-24,117.15,118.56
2016-05-25,118.98,118.52
2016-05-26,118.85,118.2
2016-05-27,118.2,118.34
2016-05-31,118.62,117.24
