Date,Open,Close
2016-06-01,77.65,78.37
2016-06-02,78.18,78.98
2016-06-03,79.0,78.14
2016-06-06,78.11,78.67
2016-06-07,78.59,79.24
2016-06-08,79.27,80.98
2016-06-09,80.82,81.03
2016-06-10,80.25,79.55
2016-06-13,79.2,77.95
2016-06-14,77.61,78.01
2016-06-15,78.27,77.81
2016-06-16,77.01,77.66
2016-06-17,77.72,77.43
2016-06-20,78.13,78.57
2016-06-21,78.88,78.75
2016-06-22,78.66,79.3
2016-06-23,79.85,79.75
2016-06-24,77.3,76.72
2016-06-27,76.15,74.43
2016-06-28,75.02,75.93
2016-06-29,76.39,77.05
2016-06-30,77.17,77.01
