Date,Open,Close
2016-06-01,44.5,44.83
2016-06-02,44.63,45.07
2016-06-03,45.02,45.24
2016-06-06,45.28,45.12
2016-06-07,45.19,45.33
2016-06-08,45.25,45.05
2016-06-09,44.88,45.22
2016-06-10,44.72,45.02
2016-06-13,45.2,44.17
2016-06-14,44.12,44.02
2016-06-15,44.1,43.83
2016-06-16,43.69,44.23
2016-06-17,44.23,44.04
2016-06-20,44.55,44.23
2016-06-21,44.41,44.48
2016-06-22,44.43,44.18
2016-06-23,44.67,44.85
2016-06-24,42.77,42.27
2016-06-27,41.88,41.38
2016-06-28,41.29,41.85
2016-06-29,42.22,42.97
2016-06-30,43.24,45.51
