Date,Open,Close
2016-06-01,31.15,31.29
2016-06-02,31.25,31.28
2016-06-03,30.92,30.72
2016-06-06,30.73,31.03
2016-06-07,31.11,31.61
2016-06-08,31.59,31.95
2016-06-09,31.72,31.41
2016-06-10,31.09,30.8
2016-06-13,30.66,30.44
2016-06-14,29.26,26.45
2016-06-15,26.49,26.5
2016-06-16,26.24,26.0
2016-06-17,25.97,25.77
2016-06-20,26.02,25.55
2016-06-21,25.68,25.85
2016-06-22,25.81,25.5
2016-06-23,25.78,26.0
2016-06-24,24.95,24.64
2016-06-27,24.3,23.36
2016-06-28,23.71,23.93
2016-06-29,24.17,24.83
2016-06-30,24.98,25.28
