Date,Open,Close
2016-08-01,44.39,42.99
2016-08-02,43.49,43.94
2016-08-03,44.5,45.85
2016-08-04,44.58,45.0
2016-08-05,44.78,44.91
2016-08-08,45.33,45.58
2016-08-09,45.83,45.26
2016-08-10,45.57,44.99
2016-08-11,45.38,46.11
2016-08-12,46.4,46.85
2016-08-15,47.1,46.77
2016-08-16,46.78,47.11
2016-08-17,46.99,47.95
2016-08-18,48.21,49.62
2016-08-19,49.44,49.71
2016-08-22,49.03,48.07
2016-08-23,47.99,48.28
2016-08-24,47.99,47.12
2016-08-25,47.19,47.02
2016-08-26,47.22,46.98
2016-08-29,46.98,47.36
2016-08-30,47.6,47.16
2016-08-31,46.86,46.89
