Date,Open,Close
2016-08-01,10.65,10.25
2016-08-02,10.39,10.05
2016-08-03,10.04,10.45
2016-08-04,11.0,10.83
2016-08-05,10.97,11.02
2016-08-08,11.15,11.31
2016-08-09,11.42,11.01
2016-08-10,11.02,10.26
2016-08-11,10.33,10.37
2016-08-12,10.44,9.9
2016-08-15,10.1,10.43
2016-08-16,10.54,10.11
2016-08-17,10.04,10.11
2016-08-18,10.19,10.62
2016-08-19,10.54,10.49
2016-08-22,10.36,10.1
2016-08-23,10.03,10.25
2016-08-24,10.16,10.01
2016-08-25,10.14,10.07
2016-08-26,10.08,10.09
2016-08-29,10.05,10.11
2016-08-30,10.15,9.97
2016-08-31,9.95,9.7
