Date,Open,Close
2016-08-01,64.25,63.69
2016-08-02,63.28,61.42
2016-08-03,60.8,61.42
2016-08-04,61.51,61.42
2016-08-05,61.96,62.75
2016-08-08,63.28,64.24
2016-08-09,63.99,63.41
2016-08-10,63.32,63.67
2016-08-11,65.51,66.25
2016-08-12,66.25,67.31
2016-08-15,67.5,67.91
2016-08-16,67.74,67.43
2016-08-17,67.11,67.27
2016-08-18,67.3,68.22
2016-08-19,67.93,68.52
2016-08-22,68.52,68.07
2016-08-23,68.62,69.13
2016-08-24,69.08,68.87
2016-08-25,73.87,73.28
2016-08-26,73.17,73.56
2016-08-29,73.82,72.98
2016-08-30,72.61,71.98
2016-08-31,71.92,71.37
