Date,Open,Close
2016-08-01,79.63,77.35
2016-08-02,77.58,75.32
2016-08-03,75.47,76.6
2016-08-04,76.17,76.93
2016-08-05,77.52,79.45
2016-08-08,79.96,79.47
2016-08-09,79.1,78.84
2016-08-10,79.24,77.86
2016-08-11,78.49,78.89
2016-08-12,78.68,78.37
2016-08-15,78.67,79.23
2016-08-16,79.08,77.88
2016-08-17,77.92,77.62
2016-08-18,78.16,80.81
2016-08-19,80.24,80.23
2016-08-22,79.68,80.13
2016-08-23,80.73,82.12
2016-08-24,81.96,80.96
2016-08-25,80.73,81.21
2016-08-26,81.57,82.26
2016-08-29,82.25,82.89
2016-08-30,82.91,82.82
2016-08-31,82.5,82.31
